IDŐ, ÚTX, DELTAX, FX
 1, 0.000000, 0.000000, 4708.800293
 2, 0.000000, 0.000000, 4708.800293
 3, 0.000000, 0.000000, 4708.800293
 4, 0.000000, 0.000000, 4708.800293
 5, 0.000000, 0.000000, 4708.800293
 6, 0.000000, 0.000000, 4708.800293
 7, 0.000000, 0.000000, 4708.800293
 8, 0.000000, 0.000000, 4708.800293
 9, 0.000000, 0.000000, 4708.800293
 10, 0.000000, 0.000000, 4708.800293
 11, 0.000000, 0.000000, 4708.800293
 12, 0.000000, 0.000000, 4708.800293
 13, 0.000000, 0.000000, 4708.800293
 14, 0.000000, 0.000000, 4708.800293
 15, 0.000000, 0.000000, 4708.800293
 16, 0.000000, 0.000000, 4708.800293
 17, 0.000000, 0.000000, 4708.800293
 18, 0.000000, 0.000000, 4708.800293
 19, 0.000000, 0.000000, 4708.800293
 20, 0.000000, 0.000000, 4708.800293
 21, 0.000000, 0.000000, 4708.800293
 22, 0.000000, 0.000000, 4708.800293
 23, 0.000000, 0.000000, 4708.800293
 24, 0.000000, 0.000000, 4708.800293
 25, 0.000000, 0.000000, 4708.800293
 26, 0.000000, 0.000000, 4708.800293
 27, 0.000000, 0.000000, 4708.800293
 28, 0.000000, 0.000000, 4708.800293
 29, 0.000000, 0.000000, 4708.800293
 30, 0.000000, 0.000000, 4708.800293
 31, 0.000000, 0.000000, 4708.800293
 32, 0.000000, 0.000000, 4708.800293
 33, 0.000000, 0.000000, 4708.800293
 34, 0.000000, 0.000000, 4708.800293
 35, 0.000000, 0.000000, 4708.800293
 36, 0.000000, 0.000000, 4708.800293
 37, 0.000000, 0.000000, 4708.800293
 38, 0.000000, 0.000000, 4708.800293
 39, 0.000000, 0.000000, 4708.800293
 40, 0.000000, 0.000000, 4708.800293
 41, 0.000000, 0.000000, 4708.800293
 42, 0.000000, 0.000000, 4708.800293
 43, 0.000000, 0.000000, 4708.800293
 44, 0.000000, 0.000000, 4708.800293
 45, 0.000000, 0.000000, 4708.800293
 46, 0.000000, 0.000000, 4708.800293
 47, 0.000000, 0.000000, 4708.800293
 48, 0.000000, 0.000000, 4708.800293
 49, 0.000000, 0.000000, 4708.800293
 50, 0.000000, 0.000000, 4708.800293
 51, 0.000000, 0.000000, 4708.800293
 52, 0.000000, 0.000000, 4708.800293
 53, 0.000000, 0.000000, 4708.800293
